SUMMARY,DATE,AGENT,server_name
Process : P84xConnectorService is running successfully,2023-01-01 4:25:13,Application,Application_server_88
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 4:30:11,Application,Application_server_48
[MAN] The PERC1 battery is medium.,2023-01-01 4:34:48,dell-idrac,dell-idrac_server_36
[MAN] Log /var/VRTSvcs/log/engine_A.log VCS ERROR V-16-2-13027 (server987qwe) Resource(vxattachd) - successfully complete.,2023-01-01 4:39:53,linux_ix86,linux_ix86_server_76
CHRONY : process is running successfully,2023-01-01 4:44:51,linux_ix86,linux_ix86_server_107
Service: enstart64 is running,2023-01-01 4:49:33,ms_win,ms_win_server_25
splunkd is running successfully,2023-01-01 4:54:19,Application,Application_server_156
CHRONY : process is running successfully,2023-01-01 4:59:25,linux_ix86,linux_ix86_server_92
Process : P84xConnectorService is running successfully,2023-01-01 5:04:12,Application,Application_server_83
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 5:09:18,Application,Application_server_98
splunkd is running successfully,2023-01-01 5:14:18,Application,Application_server_240
*CP01*nodeagent is missing,2023-01-01 5:19:45,websphere,websphere_server_53
Filesystem:  / is 70 full,2023-01-01 5:25:01,linux_ix86,linux_ix86_server_154
Process : nbsl is running successfully,2023-01-01 5:30:15,Application,Application_server_352
Process : nbsvcmon is running successfully,2023-01-01 5:35:09,Application,Application_server_453
[MAN] Log /webapp/logs/app123/SystemErr.log ParseException: Content is not allowed in prolog,2023-01-01 5:40:58,websphere,websphere_server_43
system: Processor Queue Length is 0,2023-01-01 5:46:08,ms_win,ms_win_server_61
[MAN] Log /var/log/messages NIC Link is Up.,2023-01-01 5:51:15,linux_ix86,linux_ix86_server_104
Process : P84xConnectorService is running successfully,2023-01-01 5:56:06,Application,Application_server_172
Service: Domain Time Client is running,2023-01-01 6:01:24,ms_win,ms_win_server_6
Total CPU Utilization = 75%,2023-01-01 6:06:36,Application,Application_server_278
Process : TaskRoutingService is running successfully,2023-01-01 6:11:18,Application,Application_server_420
splunkd is running successfully,2023-01-01 6:15:59,Application,Application_server_124
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 6:21:26,Application,Application_server_139
Process : nbrmms is running successfully,2023-01-01 6:26:08,Application,Application_server_85
Total CPU Utilization = 75%,2023-01-01 6:31:15,Application,Application_server_415
CHRONY : process is running successfully,2023-01-01 6:36:34,linux_ix86,linux_ix86_server_83
CHRONY : process is running successfully,2023-01-01 6:41:36,linux_ix86,linux_ix86_server_125
Current memory usage percentage is 50%,2023-01-01 6:46:44,Application,Application_server_241
*CP01*nodeagent is missing,2023-01-01 6:51:23,websphere,websphere_server_39
Filesystem:  / is 85 full,2023-01-01 6:56:35,linux_ix86,linux_ix86_server_2
Process : nbsvcmon is running successfully,2023-01-01 7:01:36,Application,Application_server_374
Process : java is running successfully,2023-01-01 7:06:45,Application,Application_server_426
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 7:11:35,Application,Application_server_197
Process : nbrmms is running successfully,2023-01-01 7:16:31,Application,Application_server_320
Process : nbsl is running successfully,2023-01-01 7:21:49,Application,Application_server_277
Process : P84xConnectorService is running successfully,2023-01-01 7:26:36,Application,Application_server_103
Service: Domain Time Client is running,2023-01-01 7:31:50,ms_win,ms_win_server_24
Filesystem:  / is 75 full,2023-01-01 7:36:42,linux_ix86,linux_ix86_server_118
[MAN] Log /var/log/messages kernel: sd Unrecovered read error.,2023-01-01 7:41:57,linux_ix86,linux_ix86_server_11
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 7:46:49,Application,Application_server_48
Service: syslog-ng Agent is running,2023-01-01 7:51:54,ms_win,ms_win_server_31
Process : java is running successfully,2023-01-01 7:56:35,Application,Application_server_26
Filesystem:  / is 70 full,2023-01-01 8:01:41,linux_ix86,linux_ix86_server_143
Process : P84xConnectorService is running successfully,2023-01-01 8:06:37,Application,Application_server_337
CHRONY : process is running successfully,2023-01-01 8:11:22,linux_ix86,linux_ix86_server_35
Process : TaskRoutingService is running successfully,2023-01-01 8:16:25,Application,Application_server_397
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 8:21:31,Application,Application_server_271
[MAN] Predictive failure reported for Disk 1 in Backplane 1 of Integrated RAID Controller 1.,2023-01-01 8:26:32,dell-idrac,dell-idrac_server_39
Process : nbrmms is running successfully,2023-01-01 8:31:31,Application,Application_server_305
[MAN] Log /webapp/configs/WebSphere/AppServer/logs/AppSrv012/SystemOut.log java.lang.OutOfMemoryError: Java heap space,2023-01-01 8:36:34,websphere,websphere_server_17
Total CPU Utilization = 55%,2023-01-01 8:41:25,Application,Application_server_338
Process : TaskRoutingService is running successfully,2023-01-01 8:46:13,Application,Application_server_74
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 8:51:30,Application,Application_server_124
Process : P84xConnectorService is running successfully,2023-01-01 8:56:33,Application,Application_server_231
Process : nbsvcmon is running successfully,2023-01-01 9:01:20,Application,Application_server_335
Process : TaskRoutingService is running successfully,2023-01-01 9:06:26,Application,Application_server_133
Filesystem:  / is 75 full,2023-01-01 9:11:18,linux_ix86,linux_ix86_server_54
Filesystem:  / is 70 full,2023-01-01 9:15:57,linux_ix86,linux_ix86_server_11
Filesystem:  / is 90 full,2023-01-01 9:21:10,linux_ix86,linux_ix86_server_103
[MAN] Log /var/log/messages NIC Link is Down.,2023-01-01 9:26:27,linux_ix86,linux_ix86_server_112
Process : nbsvcmon is running successfully,2023-01-01 9:31:33,Application,Application_server_496
Process : nbrmms is running successfully,2023-01-01 9:37:05,Application,Application_server_24
Process : java is running successfully,2023-01-01 9:42:17,Application,Application_server_322
*CP01*nodeagent is missing,2023-01-01 9:47:34,websphere,websphere_server_49
Filesystem:  / is 85 full,2023-01-01 9:52:43,linux_ix86,linux_ix86_server_65
[MAN] Log /webapp/configs/WebSphere/AppServer/logs/AppSrv012/SystemOut.log java.lang.OutOfMemoryError: Java heap space,2023-01-01 9:57:03,websphere,websphere_server_48
[MAN] Log /webapp/logs/app123/SystemErr.log ParseException: Content is not allowed in prolog,2023-01-01 10:02:04,websphere,websphere_server_10
Current memory usage percentage is 60%,2023-01-01 10:07:05,Application,Application_server_83
Process : P84xConnectorService is running successfully,2023-01-01 10:11:53,Application,Application_server_59
Process : TaskRoutingService is running successfully,2023-01-01 10:17:03,Application,Application_server_33
CHRONY : process is running successfully,2023-01-01 10:22:14,linux_ix86,linux_ix86_server_139
[MAN] Log /var/VRTSvcs/log/engine_A.log VCS ERROR V-16-2-13027 (server987qwe) Resource(vxattachd) - successfully complete.,2023-01-01 10:27:11,linux_ix86,linux_ix86_server_49
Process : TaskRoutingService is running successfully,2023-01-01 10:31:56,Application,Application_server_399
[MAN] The PERC1 battery is high.,2023-01-01 10:37:04,dell-idrac,dell-idrac_server_19
Filesystem:  / is 90 full,2023-01-01 10:41:53,linux_ix86,linux_ix86_server_154
[MAN] The system inlet temperature is above than the lower critical threshold.,2023-01-01 10:46:36,dell-idrac,dell-idrac_server_47
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 10:51:33,Application,Application_server_282
CHRONY : process is running successfully,2023-01-01 10:56:52,linux_ix86,linux_ix86_server_116
Process : nbsl is running successfully,2023-01-01 11:01:34,Application,Application_server_112
Process : nbrmms is running successfully,2023-01-01 11:06:05,Application,Application_server_389
Process : TaskRoutingService is running successfully,2023-01-01 11:11:09,Application,Application_server_53
Service: syslog-ng Agent is running,2023-01-01 11:16:09,ms_win,ms_win_server_41
[MAN] Log /var/VRTSvcs/log/engine_A.log VCS ERROR V-16-2-13027 (server987qwe) Resource(vxattachd) - successfully complete.,2023-01-01 11:20:58,linux_ix86,linux_ix86_server_5
Process : nbsvcmon is running successfully,2023-01-01 11:25:59,Application,Application_server_484
[MAN] Log /var/log/messages kernel: sd Unrecovered read error.,2023-01-01 11:30:36,linux_ix86,linux_ix86_server_79
Process : java is not running,2023-01-01 11:35:32,Application,Application_server_472
splunkd is running successfully,2023-01-01 11:40:49,Application,Application_server_184
Current memory usage percentage is 50%,2023-01-01 11:45:27,Application,Application_server_437
[MAN] Log /webapp/logs/app123/SystemErr.log ParseException: Content is not allowed in prolog,2023-01-01 11:50:29,websphere,websphere_server_46
system: Processor Queue Length is 0,2023-01-01 11:55:49,ms_win,ms_win_server_51
system: Processor Queue Length is 0,2023-01-01 12:01:01,ms_win,ms_win_server_56
Service: enstart64 is running,2023-01-01 12:05:48,ms_win,ms_win_server_59
Current memory usage percentage is 60%,2023-01-01 12:10:35,Application,Application_server_417
CHRONY : process is running successfully,2023-01-01 12:15:53,linux_ix86,linux_ix86_server_32
[MAN] The system inlet temperature is above than the lower critical threshold.,2023-01-01 12:21:20,dell-idrac,dell-idrac_server_37
[MAN] Log /var/VRTSvcs/log/engine_A.log VCS ERROR V-16-2-13027 (server987qwe) Resource(vxattachd) - successfully complete.,2023-01-01 12:25:59,linux_ix86,linux_ix86_server_155
system: Processor Queue Length is 0,2023-01-01 12:30:49,ms_win,ms_win_server_39
Filesystem:  / is 80 full,2023-01-01 12:35:54,linux_ix86,linux_ix86_server_10
Process : nbrmms is running successfully,2023-01-01 12:40:44,Application,Application_server_208
Process : java is running successfully,2023-01-01 12:45:27,Application,Application_server_299
[MAN] The system inlet temperature is above than the lower critical threshold.,2023-01-01 12:50:20,dell-idrac,dell-idrac_server_43
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 12:55:00,Application,Application_server_291
Process : nbrmms is running successfully,2023-01-01 13:00:19,Application,Application_server_359
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 13:05:16,Application,Application_server_431
Process : nbsvcmon is running successfully,2023-01-01 13:10:25,Application,Application_server_79
Process : java is running successfully,2023-01-01 13:15:36,Application,Application_server_319
"[MAN] Log /var/log/messages temperature above threshold, cpu clock throttled (total events = 1083)",2023-01-01 13:20:11,linux_ix86,linux_ix86_server_59
Filesystem:  / is 75 full,2023-01-01 13:24:56,linux_ix86,linux_ix86_server_143
Process : nbsvcmon is running successfully,2023-01-01 13:30:02,Application,Application_server_236
CHRONY : process is running successfully,2023-01-01 13:34:57,linux_ix86,linux_ix86_server_138
[AUTOP]  Service: SQL Server (MSSQLSERVER) is Stopped,2023-01-01 13:40:22,Application,Application_server_487
Process : nbrmms is running successfully,2023-01-01 13:44:29,Application,Application_server_520
[MAN] Log /webapp/logs/app123/SystemErr.log ParseException: Content is not allowed in prolog,2023-01-01 13:49:21,websphere,websphere_server_22
Current memory usage percentage is 70%,2023-01-01 13:54:42,Application,Application_server_213
splunkd is running successfully,2023-01-01 13:59:44,Application,Application_server_48
CHRONY : process is running successfully,2023-01-01 14:04:27,linux_ix86,linux_ix86_server_81
Process : java is running successfully,2023-01-01 14:09:46,Application,Application_server_236
Process : nbsvcmon is running successfully,2023-01-01 14:14:42,Application,Application_server_400
Process : P84xConnectorService is running successfully,2023-01-01 14:19:40,Application,Application_server_337
Current memory usage percentage is 80%,2023-01-01 14:24:59,Application,Application_server_118
Service: Domain Time Client is Stopped,2023-01-01 14:29:36,ms_win,ms_win_server_89
Process : nbsl is running successfully,2023-01-01 14:34:42,Application,Application_server_271
[MAN] The system inlet temperature is less than the lower critical threshold.,2023-01-01 14:39:41,dell-idrac,dell-idrac_server_38
"[MAN] Log /var/log/messages temperature above threshold, cpu clock throttled (total events = 1083)",2023-01-01 14:44:48,linux_ix86,linux_ix86_server_8
Service: enstart64 is running,2023-01-01 14:49:31,ms_win,ms_win_server_76
[MAN] The PERC1 battery is medium.,2023-01-01 14:54:23,dell-idrac,dell-idrac_server_13
system: Processor Queue Length is 0,2023-01-01 14:59:26,ms_win,ms_win_server_48
"[MAN] Log /var/log/messages .121242-05:00 serverabc123 smad: [ALERT ]: WARNING: Correctable Memory Error Threshold Exceeded (Processor 2, DIMM 8).",2023-01-01 15:04:31,linux_ix86,linux_ix86_server_130
Process : TaskRoutingService is running successfully,2023-01-01 15:09:26,Application,Application_server_206
Process : TaskRoutingService is running successfully,2023-01-01 15:14:58,Application,Application_server_511
[MAN] Log /var/VRTSvcs/log/engine_A.log VCS ERROR V-16-2-13027 (server987qwe) Resource(cvm_vxconfigd) - successfully complete.,2023-01-01 15:20:22,linux_ix86,linux_ix86_server_32
[MAN] The system inlet temperature is above than the lower critical threshold.,2023-01-01 15:25:20,dell-idrac,dell-idrac_server_39
Process : P84xConnectorService is not running,2023-01-01 15:29:54,Application,Application_server_150
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 15:34:52,Application,Application_server_447
Process : java is running successfully,2023-01-01 15:40:02,Application,Application_server_231
Current memory usage percentage is 40%,2023-01-01 15:44:37,Application,Application_server_1
[MAN] The PERC1 battery is high.,2023-01-01 15:49:16,dell-idrac,dell-idrac_server_11
Process : nbrmms is running successfully,2023-01-01 15:54:02,Application,Application_server_166
Total CPU Utilization = 60%,2023-01-01 15:59:33,Application,Application_server_206
Filesystem:  / is 75 full,2023-01-01 16:04:38,linux_ix86,linux_ix86_server_153
Filesystem:  / is 85 full,2023-01-01 16:09:30,linux_ix86,linux_ix86_server_78
Service: syslog-ng Agent is running,2023-01-01 16:13:54,ms_win,ms_win_server_39
Process : nbsvcmon is running successfully,2023-01-01 16:18:49,Application,Application_server_389
[MAN] Log /var/log/messages kernel: sd Unrecovered read error.,2023-01-01 16:23:48,linux_ix86,linux_ix86_server_1
Filesystem:  / is 70 full,2023-01-01 16:29:15,linux_ix86,linux_ix86_server_56
Process : P84xConnectorService is running successfully,2023-01-01 16:34:18,Application,Application_server_201
system: Processor Queue Length is 0,2023-01-01 16:39:34,ms_win,ms_win_server_51
Total CPU Utilization = 50%,2023-01-01 16:44:58,Application,Application_server_268
Process : nbsvcmon is running successfully,2023-01-01 16:50:27,Application,Application_server_72
Process : P84xConnectorService is running successfully,2023-01-01 16:54:59,Application,Application_server_408
Current memory usage percentage is 60%,2023-01-01 16:59:55,Application,Application_server_121
Process : nbsvcmon is running successfully,2023-01-01 17:05:27,Application,Application_server_432
Process : java is running successfully,2023-01-01 17:09:58,Application,Application_server_74
Service: masvc is running,2023-01-01 17:14:13,ms_win,ms_win_server_101
Process : nbsl is running successfully,2023-01-01 17:19:25,Application,Application_server_160
Process : P84xConnectorService is running successfully,2023-01-01 17:24:36,Application,Application_server_90
[MAN] The PERC1 battery is medium.,2023-01-01 17:29:51,dell-idrac,dell-idrac_server_27
Current memory usage percentage is 50%,2023-01-01 17:34:46,Application,Application_server_153
*CP01*nodeagent is missing,2023-01-01 17:39:43,websphere,websphere_server_4
Process : nbsvcmon is running successfully,2023-01-01 17:45:01,Application,Application_server_511
[MAN] Log /var/VRTSvcs/log/engine_A.log VCS ERROR V-16-2-13027 (server987qwe) Resource(cvm_vxconfigd) - successfully complete.,2023-01-01 17:50:01,linux_ix86,linux_ix86_server_97
system: Processor Queue Length is 0,2023-01-01 17:54:56,ms_win,ms_win_server_35
Process : nbsl is running successfully,2023-01-01 17:59:57,Application,Application_server_194
splunkd is running successfully,2023-01-01 18:04:53,Application,Application_server_55
Service: syslog-ng Agent is running,2023-01-01 18:09:44,ms_win,ms_win_server_80
Process : nbrmms is running successfully,2023-01-01 18:14:13,Application,Application_server_375
Process : nbsvcmon is running successfully,2023-01-01 18:19:08,Application,Application_server_191
[MAN] Predictive failure reported for Disk 0 in Backplane 1 of Integrated RAID Controller 1.,2023-01-01 18:24:11,dell-idrac,dell-idrac_server_42
Service: Domain Time Client is running,2023-01-01 18:29:01,ms_win,ms_win_server_63
Process : nbsvcmon is running successfully,2023-01-01 18:34:18,Application,Application_server_384
[MAN] Log /webapp/logs/app123/SystemErr.log ParseException: Content is not allowed in prolog,2023-01-01 18:39:05,websphere,websphere_server_6
Process : TaskRoutingService is running successfully,2023-01-01 18:43:59,Application,Application_server_55
Process : nbsl is running successfully,2023-01-01 18:49:12,Application,Application_server_78
Service: enstart64 is running,2023-01-01 18:54:00,ms_win,ms_win_server_65
*CP01*nodeagent is missing,2023-01-01 18:59:16,websphere,websphere_server_7
Service: masvc is running,2023-01-01 19:04:17,ms_win,ms_win_server_48
Filesystem:  / is 80 full,2023-01-01 19:09:24,linux_ix86,linux_ix86_server_98
Total CPU Utilization = 75%,2023-01-01 19:14:45,Application,Application_server_129
Process : TaskRoutingService is running successfully,2023-01-01 19:19:40,Application,Application_server_486
[MAN] Log /var/log/messages NIC Link is Up.,2023-01-01 19:24:25,linux_ix86,linux_ix86_server_42
Process : TaskRoutingService is running successfully,2023-01-01 19:29:17,Application,Application_server_513
Current memory usage percentage is 80%,2023-01-01 19:34:33,Application,Application_server_298
Process : TaskRoutingService is running successfully,2023-01-01 19:39:23,Application,Application_server_139
Process : nbrmms is running successfully,2023-01-01 19:44:11,Application,Application_server_9
Process : nbrmms is running successfully,2023-01-01 19:49:00,Application,Application_server_390
CHRONY : process is running successfully,2023-01-01 19:53:47,linux_ix86,linux_ix86_server_26
[MAN] The PERC1 battery is high.,2023-01-01 19:58:32,dell-idrac,dell-idrac_server_38
system: Processor Queue Length is 0,2023-01-01 20:03:04,ms_win,ms_win_server_5
[MAN] The system inlet temperature is above than the lower critical threshold.,2023-01-01 20:08:12,dell-idrac,dell-idrac_server_28
CHRONY : process is running successfully,2023-01-01 20:12:37,linux_ix86,linux_ix86_server_116
[MAN] Predictive failure reported for Disk 1 in Backplane 1 of Integrated RAID Controller 1.,2023-01-01 20:17:15,dell-idrac,dell-idrac_server_4
Filesystem:  / is 70 full,2023-01-01 20:22:18,linux_ix86,linux_ix86_server_133
Filesystem:  / is 85 full,2023-01-01 20:27:14,linux_ix86,linux_ix86_server_59
CHRONY : process is running successfully,2023-01-01 20:32:03,linux_ix86,linux_ix86_server_64
[MAN] Predictive failure reported for Disk 0 in Backplane 1 of Integrated RAID Controller 1.,2023-01-01 20:36:52,dell-idrac,dell-idrac_server_35
Total CPU Utilization = 60%,2023-01-01 20:41:33,Application,Application_server_27
Total CPU Utilization = 75%,2023-01-01 20:46:36,Application,Application_server_359
Process : P84xConnectorService is running successfully,2023-01-01 20:51:39,Application,Application_server_82
Process : TaskRoutingService is running successfully,2023-01-01 20:56:21,Application,Application_server_247
Current memory usage percentage is 80%,2023-01-01 21:00:55,Application,Application_server_290
Service: Domain Time Client is running,2023-01-01 21:06:28,ms_win,ms_win_server_51
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 21:11:35,Application,Application_server_468
Process : nbrmms is running successfully,2023-01-01 21:16:53,Application,Application_server_375
Filesystem:  / is 80 full,2023-01-01 21:22:21,linux_ix86,linux_ix86_server_143
Filesystem:  / is 75 full,2023-01-01 21:27:25,linux_ix86,linux_ix86_server_66
Service: enstart64 is running,2023-01-01 21:31:47,ms_win,ms_win_server_102
splunkd is running successfully,2023-01-01 21:37:08,Application,Application_server_327
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 21:42:25,Application,Application_server_369
Process : TaskRoutingService is running successfully,2023-01-01 21:47:31,Application,Application_server_158
[MAN] The PERC1 battery is high.,2023-01-01 21:52:55,dell-idrac,dell-idrac_server_46
CHRONY : process is running successfully,2023-01-01 21:58:10,linux_ix86,linux_ix86_server_32
Process : nbsl is running successfully,2023-01-01 22:02:58,Application,Application_server_46
Process : nbrmms is running successfully,2023-01-01 22:07:53,Application,Application_server_226
Total CPU Utilization = 50%,2023-01-01 22:12:41,Application,Application_server_479
Process : TaskRoutingService is running successfully,2023-01-01 22:17:13,Application,Application_server_473
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 22:21:40,Application,Application_server_266
Total CPU Utilization = 50%,2023-01-01 22:26:20,Application,Application_server_467
Service: masvc is running,2023-01-01 22:32:03,ms_win,ms_win_server_49
Process : nbsl is running successfully,2023-01-01 22:37:25,Application,Application_server_475
Process : nbsvcmon is running successfully,2023-01-01 22:42:05,Application,Application_server_355
[MAN] Log /webapp/logs/app123/SystemErr.log ParseException: Content is not allowed in prolog,2023-01-01 22:47:22,websphere,websphere_server_7
Process : nbsl is running successfully,2023-01-01 22:52:33,Application,Application_server_64
Service: Domain Time Client is running,2023-01-01 22:57:28,ms_win,ms_win_server_32
Filesystem:  / is 75 full,2023-01-01 23:02:12,linux_ix86,linux_ix86_server_23
Total CPU Utilization = 50%,2023-01-01 23:07:03,Application,Application_server_207
Process : nbsvcmon is running successfully,2023-01-01 23:12:08,Application,Application_server_388
[MAN] Log /var/VRTSvcs/log/engine_A.log VCS ERROR V-16-2-13027 (server987qwe) Resource(cvm_vxconfigd) - successfully complete.,2023-01-01 23:17:29,linux_ix86,linux_ix86_server_121
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 23:22:14,Application,Application_server_453
Total CPU Utilization = 50%,2023-01-01 23:27:30,Application,Application_server_218
Process : TaskRoutingService is running successfully,2023-01-01 23:32:33,Application,Application_server_333
CHRONY : process is running successfully,2023-01-01 23:37:19,linux_ix86,linux_ix86_server_9
Process : nbsvcmon is running successfully,2023-01-01 23:42:55,Application,Application_server_448
*CP01*nodeagent is missing,2023-01-01 23:47:51,websphere,websphere_server_1
Process : TaskRoutingService is running successfully,2023-01-01 23:52:32,Application,Application_server_410
Total CPU Utilization = 55%,2023-01-01 23:57:36,Application,Application_server_472
system: Processor Queue Length is 0,2023-01-02 0:02:57,ms_win,ms_win_server_19
Total CPU Utilization = 75%,2023-01-02 0:07:53,Application,Application_server_325
splunkd is running successfully,2023-01-02 0:13:05,Application,Application_server_440
Total CPU Utilization = 55%,2023-01-02 0:17:52,Application,Application_server_393
Total CPU Utilization = 55%,2023-01-02 0:22:54,Application,Application_server_502
[MAN] The PERC1 battery is medium.,2023-01-02 0:27:50,dell-idrac,dell-idrac_server_23
system: Processor Queue Length is 0,2023-01-02 0:32:51,ms_win,ms_win_server_5
splunkd is running successfully,2023-01-02 0:37:58,Application,Application_server_44
Current memory usage percentage is 70%,2023-01-02 0:43:23,Application,Application_server_99
system: Processor Queue Length is 0,2023-01-02 0:48:08,ms_win,ms_win_server_33
Service: Domain Time Client is running,2023-01-02 0:53:21,ms_win,ms_win_server_78
Process : P84xConnectorService is not running,2023-01-02 0:58:29,Application,Application_server_68
Process : nbsvcmon is running successfully,2023-01-02 1:03:05,Application,Application_server_461
Process : nbrmms is running successfully,2023-01-02 1:08:18,Application,Application_server_150
Current memory usage percentage is 70%,2023-01-02 1:13:07,Application,Application_server_414
Current memory usage percentage is 50%,2023-01-02 1:18:01,Application,Application_server_362
Current memory usage percentage is 60%,2023-01-02 1:22:35,Application,Application_server_199
Process : nbsvcmon is running successfully,2023-01-02 1:27:51,Application,Application_server_308
splunkd is running successfully,2023-01-02 1:32:48,Application,Application_server_292
Process : nbsvcmon is running successfully,2023-01-02 1:37:45,Application,Application_server_521
[MAN] Log /var/log/messages NIC Link is Down.,2023-01-02 1:42:39,linux_ix86,linux_ix86_server_38
